# ID        RA            DEC           z      Mag    Int_Pz    Rad(')   Rank
09.000616   175.6833437  +15.4371073    0.84   24.79  0.173     0.90     324
09.000330   175.6829780  +15.4538497    0.79   24.66  0.141     0.32     324
09.000631   175.6916270  +15.4363899    0.87   24.77  0.173     0.92     323
09.000331   175.6739840  +15.4537243    0.87   23.89  0.164     0.82     323
09.000007   175.7042936  +15.4724867    0.88   21.88  0.160     1.58     320
09.000588   175.6827181  +15.4390631    0.84   25.37  0.171     0.80     319
09.000484   175.7024698  +15.4452504    0.11   16.45  0.113     0.92     319
09.000156   175.7049224  +15.4614565    0.47   24.11  0.169     1.15     317
09.000122   175.6795355  +15.4636857    0.83   25.00  0.167     0.88     313
09.000108   175.6941454  +15.4647080    0.74   24.49  0.163     0.88     312
09.000011   175.7032036  +15.4717062    0.82   24.34  0.170     1.51     308
09.000004   175.7016237  +15.4726388    0.96   23.41  0.163     1.50     307
09.000109   175.6817443  +15.4644175    0.90   22.71  0.148     0.86     307
09.000046   175.6762657  +15.4682565    0.84   24.39  0.166     1.22     307
09.000602   175.6966968  +15.4378790    0.81   24.84  0.163     0.96     305
09.000037   175.6802952  +15.4691420    0.85   25.35  0.170     1.15     305
09.000651   175.6744636  +15.4337798    0.87   25.45  0.173     1.31     304
09.000350   175.6868696  +15.4528379    0.21   22.64  0.079     0.11     302
09.000086   175.6694038  +15.4660762    0.83   23.63  0.160     1.39     302
09.000554   175.6919320  +15.4406315    0.84   24.44  0.148     0.69     298
09.000216   175.7005546  +15.4610788    0.52   24.78  0.153     0.93     291
09.000380   175.7060984  +15.4516527    0.83   24.64  0.154     1.05     289
09.000480   175.6949305  +15.4462109    0.18   24.21  0.130     0.51     285
09.000459   175.7124201  +15.4475093    0.88   22.77  0.140     1.44     276
09.000501   175.7076716  +15.4448330    0.83   25.31  0.149     1.21     270
09.000306   175.6913890  +15.4549960    1.20   99.00  0.419     0.29     270
09.000344   175.6940916  +15.4531204    1.16   99.00  0.449     0.37     268
09.000614   175.6891114  +15.4370347    0.58   23.18  0.126     0.86     264
09.000391   175.6862356  +15.4511623    1.09   99.00  0.239     0.10     263
09.000211   175.7099669  +15.4588540    0.62   24.80  0.142     1.35     261
09.000561   175.6993660  +15.4401866    0.59   24.62  0.133     0.94     259
09.000409   175.6818206  +15.4502914    0.54   24.81  0.105     0.36     258
09.000360   175.7096735  +15.4521665    1.12   99.00  0.548     1.26     255
09.000486   175.6829193  +15.4460347    1.33   99.00  0.433     0.43     254
09.000151   175.6871243  +15.4623483    0.89   22.28  0.109     0.66     253
09.000421   175.6872148  +15.4499202    1.02   99.00  0.211     0.10     253
09.000443   175.6911793  +15.4486088    0.42   24.03  0.084     0.25     250
09.000337   175.6919393  +15.4535060    1.07   99.00  0.348     0.26     248
09.000539   175.6846958  +15.4420306    0.75   25.33  0.117     0.59     247
09.000273   175.6867479  +15.4562196    0.77   24.66  0.090     0.30     246
09.000633   175.6795468  +15.4361593    0.52   23.80  0.121     1.03     243
09.000635   175.6816100  +15.4363107    0.61   25.26  0.126     0.98     242
09.000379   175.6854317  +15.4514731    1.09   99.00  0.234     0.14     239
09.000565   175.7107617  +15.4401554    0.58   24.99  0.131     1.48     239
09.000288   175.6896521  +15.4556576    1.09   99.00  0.331     0.27     239
09.000401   175.6832875  +15.4508609    1.08   99.00  0.323     0.27     236
09.000318   175.6906120  +15.4541933    0.29   23.31  0.070     0.23     236
09.000357   175.6898932  +15.4526495    1.01   99.00  0.213     0.14     234
09.000411   175.6867918  +15.4507048    0.47   99.00  0.133     0.08     234
09.000416   175.6974245  +15.4504057    0.51   23.85  0.099     0.55     232
09.000251   175.6782212  +15.4570718    1.24   99.00  0.429     0.66     231
09.000353   175.6994249  +15.4525598    0.17   22.32  0.097     0.67     231
09.000296   175.6949397  +15.4553773    1.15   99.00  0.382     0.47     228
09.000261   175.7010268  +15.4565060    1.22   99.00  0.443     0.82     228
09.000171   175.6735496  +15.4611033    0.62   23.36  0.109     1.02     227
09.000431   175.6977487  +15.4493327    1.11   99.00  0.397     0.58     224
09.000519   175.6946106  +15.4432550    1.20   99.00  0.399     0.62     221
09.000352   175.6905332  +15.4528608    1.04   99.00  0.219     0.17     221
09.000458   175.6920112  +15.4476020    1.07   99.00  0.314     0.33     221
09.000270   175.6884823  +15.4562500    0.45   23.71  0.070     0.29     219
09.000515   175.7128898  +15.4437425    0.43   24.40  0.116     1.51     219
09.000297   175.6848218  +15.4552892    1.04   99.00  0.290     0.30     218
09.000326   175.6852105  +15.4539641    0.96   99.00  0.236     0.22     214
09.000573   175.7014441  +15.4396107    1.23   99.00  0.429     1.05     213
09.000182   175.7069068  +15.4603687    1.25   99.00  0.437     1.22     211
09.000308   175.6823919  +15.4549556    1.07   99.00  0.312     0.39     211
09.000209   175.6875938  +15.4588240    1.04   99.00  0.332     0.45     211
09.000562   175.6990876  +15.4401593    0.49   25.28  0.105     0.93     210
09.000355   175.6843176  +15.4518970    1.01   99.00  0.219     0.21     210
09.000390   175.6891189  +15.4518191    0.28   24.41  0.016     0.07     209
09.000021   175.6985321  +15.4699877    1.33   99.00  0.429     1.27     207
09.000029   175.6993787  +15.4696056    1.24   99.00  0.429     1.28     207
09.000524   175.7080175  +15.4431953    1.26   99.00  0.427     1.26     206
09.000555   175.7050678  +15.4405341    0.13   24.64  0.105     1.19     206
09.000324   175.6880724  +15.4541165    0.50   99.00  0.165     0.16     204
09.000338   175.6921166  +15.4531955    1.06   99.00  0.236     0.27     202
09.000028   175.6971146  +15.4691772    1.27   99.00  0.412     1.19     202
09.000347   175.7090482  +15.4529855    1.13   99.00  0.408     1.23     199
09.000264   175.6882401  +15.4564209    0.97   99.00  0.248     0.30     199
