# MC1J1142+1527 redshifts; Updated 30 July 2025
# Quality flags 3/2 are correct and 1 are guesses; ignore Q=0 objects
# Multiple coordinate systems used in making masks - beware! 
# Duplicates have been checked
# gmos ID are from an old version of phot catalogs
# MY ID are from the MOSFIRE masks
# obj ID are (mostly)from LRIS/DEIMOS masks in kSZ program
# pure number IDs are filler obj
# Includes GMOS from 2013/14; DEIMOS May 2015, MOSFIRE June 2015
# Also includes KSZ Keck masks observed in Feb-2022, Dec 2022 (m1142dec22a) and Jan 2023 (m1142kszd)
# NEED: pypeit reductions of Keck mask m1142szl (Feb-2024), m1142szo (Mar-2024), m1142szq (May-2024).
# Cluster       ID                 RA        Dec        Spec-z Q Comment                     Source Date     
  MOOJ1142+1527 id9p000354         175.68404 15.452444  -91.0  0 faint-cont                  KG     2013-2023
  MOOJ1142+1527 2029               175.6848  15.459972  -91.0  0 faint                       KG     2013-2023
  MOOJ1142+1527 id690              175.68695 15.501611  -91.0  0 nada                        KG     2013-2023
  MOOJ1142+1527 gmos3511           175.68726 15.45446   1.22   1 H+K                         KG     2013-2023
  MOOJ1142+1527 gmos3586           175.68744 15.46255   0.93   1 H+K                         KG     2013-2023
  MOOJ1142+1527 2115               175.68887 15.455806  0.81   1 d4000                       KG     2013-2023
  MOOJ1142+1527 id9p000535         175.68896 15.442223  -91.0  0 odd-cont                    KG     2013-2023
  MOOJ1142+1527 MY_1947            175.68932 15.44244   -91.0  0 faint                       KG     2013-2023
  MOOJ1142+1527 gmos3548           175.68945 15.45203   -91.0  0 faint                       KG     2013-2023
  MOOJ1142+1527 obj2074            175.68974 15.454528  1.196  2 H+K                         KG     2013-2023
  MOOJ1142+1527 id1635             175.69041 15.40875   1.03   1 faint-D4000                 KG     2013-2023
  MOOJ1142+1527 gmos1580           175.69087 15.45809   0.0    3 star                        KG     2013-2023
  MOOJ1142+1527 1070333051934      175.6945  15.42225   1.0759 3 [oII],D4000,Hg              KG     2013-2023
  MOOJ1142+1527 id9p000253         175.695   15.456833  1.2039 2 good-D4000                  KG     2013-2023
  MOOJ1142+1527 806                175.69576 15.469806  -91.0  0 faint                       KG     2013-2023
  MOOJ1142+1527 1986               175.69662 15.432111  1.119  1 D4000                       KG     2013-2023
  MOOJ1142+1527 MY_789             175.69739 15.46946   1.208  1 5007                        KG     2013-2023
  MOOJ1142+1527 id9p000332         175.69759 15.453083  1.1859 3 3727,D4000                  KG     2013-2023
  MOOJ1142+1527 gmos1337           175.69836 15.45862   -91.0  0 faint                       KG     2013-2023
  MOOJ1142+1527 MY_2045            175.69913 15.42896   -91.0  0 very_faint                  KG     2013-2023
  MOOJ1142+1527 MY_789ser          175.69923 15.46949   -91.0  0 very_faint                  KG     2013-2023
  MOOJ1142+1527 id9p000158         175.69983 15.46175   1.18   1 faint-D4000                 KG     2013-2023
  MOOJ1142+1527 obj586             175.70158 15.479917  0.2648 3 Ha,SII                      KG     2013-2023
  MOOJ1142+1527 gmos1249           175.70164 15.45703   -91.0  0 faint                       KG     2013-2023
  MOOJ1142+1527 id9p000103         175.70271 15.465     1.2    1 faint-D4000                 KG     2013-2023
  MOOJ1142+1527 id9p000003         175.70508 15.473333  0.0    2 star                        KG     2013-2023
  MOOJ1142+1527 gmos1560           175.70598 15.43076   -91.0  0 faint                       KG     2013-2023
  MOOJ1142+1527 MY_907             175.706   15.43882   -91.0  0 very_faint                  KG     2013-2023
  MOOJ1142+1527 4291535127255      175.7063  15.496139  0.74   1 D4000                       KG     2013-2023
  MOOJ1142+1527 769                175.70662 15.45      -91.0  0 faint                       KG     2013-2023
  MOOJ1142+1527 MY_769             175.70691 15.45007   1.1715 2 5007,Hb                     KG     2013-2023
  MOOJ1142+1527 gmos1242           175.70724 15.44302   0.83   1 H+K                         KG     2013-2023
  MOOJ1142+1527 MY_774             175.7097  15.44643   1.2001 3 S;KSZA-Feb22                KG     2013-2023
  MOOJ1142+1527 677                175.7097  15.452333  -91.0  0 red                         KG     2013-2023
  MOOJ1142+1527 MY_680             175.71141 15.45049   -91.0  0 very_faint                  KG     2013-2023
  MOOJ1142+1527 J114250.84+15294   175.71184 15.497     -91.0  0 bad                         KG     2013-2023
  MOOJ1142+1527 537                175.71304 15.452473  -91.0  0 faint                       KG     2013-2023
  MOOJ1142+1527 MY_623             175.71365 15.45199   -91.0  0 nada                        KG     2013-2023
  MOOJ1142+1527 id181              175.71454 15.489223  0.6301 2 4959+5007                   KG     2013-2023
  MOOJ1142+1527 486                175.7155  15.459416  -91.0  0 faint                       KG     2013-2023
  MOOJ1142+1527 4291535127861      175.71646 15.468278  -91.0  0 bad                         KG     2013-2023
  MOOJ1142+1527 id199              175.7165  15.48425   -91.0  0 faint-cont                  KG     2013-2023
  MOOJ1142+1527 MY_597             175.71983 15.44056   -91.0  0 very_faint                  KG     2013-2023
  MOOJ1142+1527 4291535127864      175.72241 15.449445  -91.0  0 faint                       KG     2013-2023
  MOOJ1142+1527 MY_448             175.72263 15.44964   -91.0  0 continuum                   KG     2013-2023
  MOOJ1142+1527 4291535126562      175.7247  15.518666  -91.0  0 puzzling                    KG     2013-2023
  MOOJ1142+1527 MY_394             175.72556 15.44856   1.1836 2 5007                        KG     2013-2023
  MOOJ1142+1527 id192              175.72858 15.460778  -91.0  0 nada                        KG     2013-2023
  MOOJ1142+1527 J114254.94+15284   175.72891 15.479639  0.933  3 caHK,d4000                  KG     2013-2023
  MOOJ1142+1527 4291535127875      175.73158 15.475166  0.4903 3 Hb,[oIII]                   KG     2013-2023
  MOOJ1142+1527 MY_135             175.7317  15.45626   -91.0  0 nada                        KG     2013-2023
  MOOJ1142+1527 MY_400             175.73203 15.43352   -91.0  0 continuum                   KG     2013-2023
  MOOJ1142+1527 J114256.48+15265   175.73534 15.4499445 -91.0  0 faint                       KG     2013-2023
  MOOJ1142+1527 4291535127357      175.73717 15.44675   0.8164 3 [oII],[oIII]                KG     2013-2023
  MOOJ1142+1527 MY_197             175.73795 15.43874   -91.0  0 good_continuum              KG     2013-2023
  MOOJ1142+1527 MY_9               175.73964 15.45393   -91.0  0 none                        KG     2013-2023
  MOOJ1142+1527 4291535126792      175.74362 15.454833  0.818  2 d4000                       KG     2013-2023
  MOOJ1142+1527 4291535127987      175.74413 15.481778  0.7914 3 [oII],[oIII]                KG     2013-2023
  MOOJ1142+1527 J114258.92+15272   175.7455  15.456722  0.7263 2 [oII]                       KG     2013-2023
  MOOJ1142+1527 4291535127889      175.74567 15.467222  0.215  3 [oIII],h-alpha              KG     2013-2023
  MOOJ1142+1527 4291535127389      175.74841 15.482     -91.0  0 nada                        KG     2013-2023
  MOOJ1142+1527 4291535127891      175.7525  15.459695  0.722  3 caHK,d4000                  KG     2013-2023
  MOOJ1142+1527 J114300.97+15281   175.75404 15.471111  -91.0  0 faint                       KG     2013-2023
  MOOJ1142+1527 J114301.50+15273   175.75626 15.458333  0.7227 2 [oII]                       KG     2013-2023
  MOOJ1142+1527 J114302.85+15311   175.76187 15.521083  1.07   1 d4000                       KG     2013-2023
  MOOJ1142+1527 4291535127445      175.76659 15.522     0.5939 3 [oII],h-beta                KG     2013-2023
  MOOJ1142+1527 4291535127906      175.76738 15.468056  0.7852 2 [oII]                       KG     2013-2023
  MOOJ1142+1527 4291535127907      175.76772 15.465611  0.8175 3 [oII],d4000                 KG     2013-2023
  MOOJ1142+1527 4291535127442      175.76796 15.495334  0.2288 3 [oIII],h-alpha              KG     2013-2023
  MOOJ1142+1527 J114304.32+15271   175.768   15.45525   -91.0  0 red                         KG     2013-2023
  MOOJ1142+1527 4291535127911      175.77075 15.500584  0.696  3 H+K                         KG     2013-2023
  MOOJ1142+1527 J114305.10+15301   175.77126 15.505333  -91.0  0 faint                       KG     2013-2023
  MOOJ1142+1527 4291535127475      175.774   15.514361  1.4518 3 [oII]                       KG     2013-2023
  MOOJ1142+1527 4291535127488      175.77504 15.528694  0.6642 3 [oII],h-beta,[oIII]         KG     2013-2023
  MOOJ1142+1527 J114306.04+15282   175.77516 15.473778  -91.0  0 red                         KG     2013-2023
  MOOJ1142+1527 ksza64291535192523 175.78612 15.45783   1.204  1 3727                        KG     2013-2023
  MOOJ1142+1527 J114309.63+15300   175.79013 15.502389  -91.0  0 continuum                   KG     2013-2023
  MOOJ1142+1527 J114310.26+15305   175.79276 15.51475   0.5457 3 [oII],h-beta                KG     2013-2023
  MOOJ1142+1527 4291535193222      175.79912 15.511556  0.6026 3 [oII],[oIII]                KG     2013-2023
  MOOJ1142+1527 J114311.96+15275   175.79984 15.464694  -91.0  0 faint                       KG     2013-2023
