# ID        RA            DEC           z      Mag    Int_Pz    Rad(')   Rank
4120.000000   175.7124809  15.4369544    1.27   22.76  0.583     1.66     1051
1222.000000   175.6944736  15.4923046    1.21   26.30  0.678     2.48     1049
3103.000000   175.7023556  15.4552339    1.18   25.36  0.633     0.87     1045
878.000000   175.6945631  15.4994058    1.18   25.32  0.650     2.91     1042
2440.000000   175.6718115  15.4698923    1.13   23.47  0.593     1.45     1040
2778.000000   175.7034158  15.4627661    1.10   23.21  0.582     1.13     1040
1926.000000   175.6875419  15.4791744    1.21   24.37  0.617     1.67     1039
1526.000000   175.6819421  15.4838423    1.13   22.00  0.559     1.98     1039
4080.000000   175.7297718  15.441924    1.14   23.96  0.611     2.49     1038
5513.000000   175.6728326  15.4058118    1.21   23.52  0.599     2.87     1034
5545.000000   175.6671528  15.4061576    1.23   23.16  0.590     2.97     1034
2759.000000   175.6933068  15.4622577    1.22   21.71  0.532     0.72     1034
1346.000000   175.7145761  15.487629    1.12   21.76  0.553     2.66     1033
3608.000000   175.7346459  15.4472436    1.14   25.45  0.646     2.71     1032
2814.000000   175.6628987  15.461842    1.14   23.02  0.578     1.58     1032
3110.000000   175.6973493  15.4513166    1.24   24.51  0.591     0.54     1031
1865.000000   175.6505998  15.4797876    1.22   23.73  0.601     2.75     1030
4671.000000   175.721835  15.4261781    1.14   23.45  0.592     2.48     1028
2857.000000   175.6898531  15.4609321    1.27   24.12  0.581     0.58     1027
3249.000000   175.6786679  15.4543751    1.12   23.84  0.573     0.56     1026
3189.000000   175.7331498  15.4554956    1.17   22.64  0.571     2.63     1026
1942.000000   175.6900019  15.4789198    1.14   23.98  0.599     1.66     1026
5143.000000   175.7091283  15.4176745    1.13   22.91  0.576     2.37     1025
3322.000000   175.7133752  15.4522788    1.28   22.93  0.567     1.47     1018
3640.000000   175.6892566  15.4479278    1.07   22.47  0.505     0.22     1017
4424.000000   175.7112417  15.4316241    1.13   23.43  0.580     1.80     1015
3706.000000   175.6605835  15.4452164    1.09   22.41  0.553     1.62     1014
2491.000000   175.6610031  15.4685193    1.20   23.12  0.569     1.87     1008
2116.000000   175.7199638  15.4765506    1.19   22.16  0.548     2.39     1008
2583.000000   175.6476866  15.4644994    1.20   23.41  0.579     2.46     1008
2534.000000   175.6373717  15.4678167    1.28   23.53  0.583     3.09     1006
2837.000000   175.7297759  15.4613377    1.10   23.86  0.589     2.49     1005
2672.000000   175.7029685  15.4650426    1.09   23.15  0.561     1.20     1005
3785.000000   175.7376714  15.4413922    1.20   23.38  0.578     2.94     1004
2766.000000   175.6532748  15.4609075    1.25   23.86  0.585     2.08     1002
3761.000000   175.6849212  15.4439679    1.28   23.18  0.538     0.48     1002
3427.000000   175.7019848  15.4516086    1.26   25.28  0.602     0.81     1001
2406.000000   175.6960003  15.4697362    1.08   21.89  0.528     1.20     1000
4626.000000   175.7300528  15.426907    1.08   22.21  0.545     2.84     997
2586.000000   175.6660191  15.4671215    1.25   25.50  0.615     1.58     992
1512.000000   175.6532725  15.4845403    1.12   21.44  0.523     2.82     992
5289.000000   175.7168562  15.4140787    1.12   23.66  0.576     2.79     990
4461.000000   175.6556799  15.4319393    1.25   24.47  0.593     2.20     990
2147.000000   175.7151431  15.4749031    1.24   25.21  0.609     2.11     987
2978.000000   175.6864422  15.4511899    1.31   24.45  0.496     0.09     986
4457.000000   175.6703306  15.431899    1.17   23.93  0.572     1.55     984
3233.000000   175.7106446  15.4505594    1.29   23.05  0.547     1.31     982
546.000000   175.7045779  15.5037008    1.22   23.64  0.571     3.28     980
2411.000000   175.7038993  15.4706055    1.27   24.53  0.583     1.48     980
1266.000000   175.7089338  15.4911709    1.14   24.30  0.585     2.68     980
4046.000000   175.6773588  15.4379058    1.30   22.79  0.535     1.01     980
3789.000000   175.7287217  15.4418094    1.18   21.70  0.521     2.43     979
2520.000000   175.6712134  15.4672147    1.20   24.47  0.579     1.35     978
4153.000000   175.6615686  15.4342579    1.28   24.49  0.583     1.84     976
3468.000000   175.7027022  15.4508819    1.20   23.88  0.554     0.85     975
4224.000000   175.7133682  15.4381779    1.12   23.57  0.558     1.67     973
4362.000000   175.6902715  15.4334975    1.28   22.48  0.525     1.08     973
4163.000000   175.7238777  15.4362717    1.11   21.76  0.518     2.27     972
3398.000000   175.7046668  15.4514642    1.13   24.63  0.572     0.97     971
2233.000000   175.6482495  15.4711031    1.25   23.31  0.554     2.58     968
3482.000000   175.7131935  15.4507376    1.23   25.50  0.598     1.46     968
4492.000000   175.6939071  15.4310169    1.26   23.57  0.549     1.27     965
4409.000000   175.7366776  15.4271183    1.28   22.72  0.539     3.17     963
1944.000000   175.6749729  15.4783372    1.26   22.22  0.521     1.78     963
2925.000000   175.6973797  15.4574003    1.29   23.93  0.541     0.65     962
5537.000000   175.6801539  15.4057987    1.29   22.88  0.540     2.77     960
2573.000000   175.6957771  15.4667174    1.18   21.95  0.504     1.03     959
4055.000000   175.7207263  15.4402052    1.09   23.55  0.550     2.01     956
2160.000000   175.6787415  15.4742267    1.17   22.58  0.522     1.47     954
1233.000000   175.6863798  15.4931427    1.17   22.70  0.531     2.51     954
4516.000000   175.7408432  15.4301014    1.15   25.96  0.609     3.32     952
1124.000000   175.7202698  15.4940984    1.11   23.00  0.539     3.17     952
4557.000000   175.7251433  15.4280389    1.12   23.21  0.539     2.57     946
2920.000000   175.6642276  15.4593774    1.12   23.14  0.525     1.45     937
3188.000000   175.7084483  15.4556552    1.25   25.36  0.572     1.21     937
976.000000   175.7120534  15.4971068    1.06   21.42  0.493     3.08     935
2635.000000   175.705128  15.4659578    1.08   23.18  0.522     1.32     933
4081.000000   175.6643573  15.4397009    1.14   23.84  0.538     1.53     931
3104.000000   175.6966077  15.4505691    1.23   24.72  0.531     0.50     930
2632.000000   175.7319604  15.4659016    1.08   23.14  0.528     2.69     929
4155.000000   175.6979877  15.4379494    1.31   22.80  0.505     0.99     927
4116.000000   175.7084213  15.4391043    1.13   24.61  0.551     1.40     926
4595.000000   175.6879362  15.4277714    1.28   24.49  0.548     1.42     925
4552.000000   175.7320172  15.4333024    1.08   22.59  0.512     2.77     923
3379.000000   175.732826  15.4504007    1.10   23.31  0.527     2.60     922
4346.000000   175.7032111  15.4352804    1.10   21.84  0.485     1.31     921
2130.000000   175.6543648  15.4736987    1.20   22.41  0.504     2.36     919
3256.000000   175.6471294  15.4515832    1.30   23.61  0.529     2.36     915
2993.000000   175.6914872  15.4569505    1.30   22.36  0.464     0.39     914
3092.000000   175.7222669  15.4570491    1.11   23.06  0.514     2.01     914
2585.000000   175.6407  15.4671581    1.18   25.65  0.575     2.89     912
4265.000000   175.7286436  15.4355724    1.12   23.00  0.514     2.54     912
2122.000000   175.6580333  15.4753965    1.29   24.55  0.547     2.25     911
3561.000000   175.6980618  15.4493445    1.17   25.32  0.537     0.60     910
2834.000000   175.7273403  15.4607467    1.12   23.64  0.526     2.35     909
3239.000000   175.7051098  15.454389    1.30   24.03  0.521     1.01     908
5232.000000   175.6898428  15.4157867    1.11   25.59  0.567     2.14     907
5326.000000   175.6902616  15.4119168    1.09   23.57  0.523     2.37     907
4354.000000   175.7163182  15.4341955    1.07   23.24  0.512     1.94     904
2794.000000   175.6661279  15.4625862    1.11   24.92  0.541     1.43     899
3771.000000   175.7415341  15.4458303    1.26   22.75  0.501     3.12     895
3187.000000   175.6990399  15.4556142    1.16   25.45  0.534     0.69     895
1302.000000   175.7100649  15.486954    1.29   24.14  0.529     2.49     895
4625.000000   175.7307428  15.4268558    1.20   23.39  0.513     2.88     893
3494.000000   175.6553728  15.450092    1.07   22.87  0.497     1.88     893
2658.000000   175.6617103  15.4653786    1.10   23.98  0.519     1.73     891
3324.000000   175.6788101  15.4532115    1.30   25.17  0.518     0.54     890
2971.000000   175.6808715  15.4516243    1.30   22.66  0.458     0.41     890
2851.000000   175.7328244  15.4614865    1.14   25.07  0.546     2.67     888
4640.000000   175.6868916  15.4269408    1.08   24.63  0.526     1.47     884
541.000000   175.7035856  15.5040578    1.25   26.40  0.571     3.29     879
1912.000000   175.718241  15.4785289    1.30   24.12  0.518     2.39     878
2990.000000   175.6853343  15.4515638    1.04   22.70  0.417     0.15     877
3230.000000   175.7092971  15.453039    1.31   23.40  0.492     1.24     875
3265.000000   175.646195  15.4528256    1.07   22.05  0.472     2.42     875
4680.000000   175.6608055  15.4059249    1.17   24.70  0.529     3.15     871
1617.000000   175.7246967  15.4852548    1.28   25.70  0.548     2.94     868
2924.000000   175.6661566  15.4579277    1.31   23.10  0.479     1.32     862
3929.000000   175.6627377  15.4430134    1.30   24.79  0.516     1.54     861
4094.000000   175.7306668  15.4380828    1.26   23.46  0.491     2.60     855
5369.000000   175.7121117  15.4112889    1.31   24.30  0.509     2.78     854
5006.000000   175.6771681  15.4213235    1.07   23.32  0.482     1.91     850
2167.000000   175.6459678  15.4742433    1.13   24.95  0.520     2.79     850
3604.000000   175.7360905  15.4414397    1.07   24.38  0.506     2.85     846
4065.000000   175.6791341  15.4394191    1.05   22.42  0.443     0.88     836
4750.000000   175.6691289  15.3984228    1.26   24.18  0.497     3.36     836
3696.000000   175.6690514  15.4467396    1.04   21.98  0.437     1.13     832
2929.000000   175.7157586  15.4593146    1.05   22.74  0.457     1.68     830
4592.000000   175.690275  15.4285064    1.29   26.64  0.531     1.38     828
4622.000000   175.6773359  15.4272279    1.06   22.75  0.454     1.57     826
3620.000000   175.6956916  15.4484561    1.06   24.63  0.463     0.48     825
931.000000   175.7080399  15.497745    1.13   25.07  0.506     3.01     822
2704.000000   175.7136021  15.463114    1.05   23.00  0.457     1.64     821
3825.000000   175.7169269  15.4467106    1.13   23.69  0.471     1.70     821
5229.000000   175.6938666  15.415406    1.05   22.80  0.455     2.19     819
3437.000000   175.6622834  15.4511547    1.26   25.45  0.502     1.48     818
2546.000000   175.6566058  15.4676419    1.05   22.57  0.449     2.06     817
3234.000000   175.711346  15.4503102    1.04   22.12  0.434     1.36     816
4051.000000   175.6767729  15.4394779    1.04   22.62  0.437     0.96     815
4172.000000   175.7459025  15.4374994    1.24   26.40  0.527     3.45     812
3192.000000   175.7163943  15.4550246    1.20   24.17  0.473     1.66     809
3607.000000   175.735933  15.4472837    1.06   20.77  0.411     2.79     808
2140.000000   175.6747439  15.4749963    1.32   24.16  0.471     1.61     807
1931.000000   175.6791469  15.479143    1.12   25.45  0.496     1.74     805
4367.000000   175.7217517  15.4340079    1.19   23.74  0.465     2.22     804
3762.000000   175.6834246  15.4445152    1.18   21.99  0.402     0.49     803
2371.000000   175.6639964  15.4715852    1.14   25.36  0.494     1.84     803
1554.000000   175.6557255  15.4849084    1.31   23.30  0.458     2.74     803
5605.000000   175.6674904  15.4038517    1.32   23.24  0.457     3.09     801
3065.000000   175.6994407  15.4572652    1.32   24.42  0.456     0.75     799
3271.000000   175.7392121  15.4539088    1.15   22.85  0.447     2.97     798
1573.000000   175.7194186  15.485733    1.08   22.74  0.444     2.75     797
4436.000000   175.7192138  15.4328177    1.22   25.21  0.488     2.12     795
3094.000000   175.6429785  15.4585092    1.19   26.64  0.517     2.63     793
1521.000000   175.6568031  15.4869937    1.23   26.30  0.510     2.79     792
2355.000000   175.6709046  15.4719093    1.30   24.44  0.466     1.58     790
3961.000000   175.670492  15.4402106    1.06   23.61  0.443     1.21     785
1645.000000   175.6605334  15.4851552    1.29   24.74  0.474     2.57     784
5000.000000   175.693045  15.4188209    1.11   22.32  0.424     1.98     782
4269.000000   175.6723586  15.4355369    1.33   24.40  0.456     1.31     780
4664.000000   175.6922343  15.425764    1.04   21.70  0.408     1.56     780
2753.000000   175.696746  15.4635189    1.06   25.04  0.459     0.89     779
4419.000000   175.6501361  15.4338761    1.32   22.99  0.436     2.43     777
3252.000000   175.6599078  15.4543827    1.33   24.23  0.453     1.63     775
3722.000000   175.6711131  15.4467427    1.07   24.23  0.443     1.01     772
1524.000000   175.6832974  15.4867371    1.12   23.77  0.445     2.14     770
2692.000000   175.697128  15.4648686    1.05   24.00  0.435     0.97     767
3692.000000   175.6926901  15.4469483    1.35   22.89  0.390     0.38     767
3107.000000   175.7016742  15.4558041    1.11   24.14  0.431     0.84     762
4899.000000   175.6545981  15.424294    1.32   25.82  0.480     2.52     761
2207.000000   175.7033756  15.4730001    1.21   25.59  0.469     1.57     761
1998.000000   175.6997988  15.4772906    1.33   24.08  0.442     1.70     760
4102.000000   175.6731743  15.4388473    1.03   21.83  0.394     1.14     759
4455.000000   175.7169046  15.4318734    1.08   21.74  0.399     2.04     756
1408.000000   175.6516058  15.4842065    1.23   22.16  0.410     2.88     756
3087.000000   175.654079  15.4575174    1.30   26.79  0.490     1.99     754
2779.000000   175.7029994  15.4614841    1.03   21.61  0.386     1.06     754
713.000000   175.7139903  15.5016832    1.29   24.16  0.447     3.37     754
4871.000000   175.7279911  15.4222986    1.26   25.10  0.462     2.90     752
3779.000000   175.7290975  15.4433554    1.11   21.15  0.385     2.43     747
1502.000000   175.6594807  15.4873526    1.18   27.39  0.498     2.71     744
3603.000000   175.7355736  15.4408585    1.08   24.32  0.438     2.83     736
3665.000000   175.7157174  15.4469203    1.29   21.57  0.380     1.63     732
1407.000000   175.6518353  15.4850429    1.19   22.40  0.400     2.90     730
996.000000   175.7174518  15.4968011    1.13   25.54  0.457     3.22     730
3713.000000   175.6809724  15.4460879    1.02   22.23  0.364     0.51     725
2049.000000   175.6515401  15.4761932    1.05   25.76  0.453     2.58     721
1593.000000   175.7176492  15.4850741    1.06   22.49  0.394     2.65     718
1993.000000   175.6394508  15.4765954    1.01   20.72  0.364     3.19     717
4573.000000   175.7005146  15.4289935    1.04   24.35  0.417     1.53     713
2425.000000   175.6987813  15.4700108    1.35   23.61  0.400     1.28     711
3909.000000   175.6949045  15.4433521    1.35   24.57  0.399     0.63     709
2719.000000   175.688774  15.4629351    1.36   23.01  0.376     0.69     709
4313.000000   175.7450524  15.4299118    1.21   25.89  0.448     3.55     705
1513.000000   175.7002792  15.4866892    1.05   22.42  0.383     2.24     703
3088.000000   175.7146532  15.4574962    1.07   25.89  0.436     1.59     701
4300.000000   175.6526647  15.4354393    1.06   25.50  0.434     2.25     701
5027.000000   175.7086554  15.4208455    1.14   26.64  0.452     2.19     699
2115.000000   175.7255415  15.4757721    1.31   26.30  0.448     2.62     699
2453.000000   175.6822003  15.4696187    1.09   23.74  0.391     1.14     696
2517.000000   175.6726793  15.4665464    1.04   23.40  0.387     1.27     695
2526.000000   175.6752102  15.4684911    1.27   25.41  0.420     1.26     695
3108.000000   175.6943503  15.4530964    1.36   23.70  0.360     0.39     693
5634.000000   175.676326  15.3991439    1.34   24.06  0.407     3.21     691
3105.000000   175.7008322  15.4548912    1.34   25.07  0.401     0.78     691
2767.000000   175.65539  15.4617101    1.35   22.42  0.374     1.98     690
4730.000000   175.6584288  15.4085471    1.22   24.72  0.417     3.08     689
4486.000000   175.6590685  15.431092    1.35   23.37  0.390     2.07     689
3476.000000   175.6522252  15.4502312    1.30   24.61  0.410     2.07     688
4285.000000   175.7131556  15.4346798    1.03   24.03  0.398     1.77     687
3714.000000   175.6807136  15.4452342    1.36   24.08  0.372     0.56     683
1306.000000   175.7106163  15.4890031    1.07   26.79  0.445     2.61     682
1528.000000   175.6828751  15.4852571    1.05   24.14  0.398     2.05     681
3598.000000   175.7322162  15.4440079    1.10   22.60  0.374     2.60     679
3155.000000   175.6490526  15.4558696    1.16   23.73  0.391     2.26     679
4144.000000   175.7420451  15.4359016    1.12   21.53  0.357     3.27     677
2587.000000   175.6681827  15.4668633    1.33   24.49  0.396     1.47     676
4244.000000   175.6489406  15.4356826    1.16   21.31  0.349     2.44     674
5453.000000   175.690634  15.4086949    1.03   23.51  0.385     2.57     673
4956.000000   175.6720271  15.4229379    1.13   27.15  0.441     1.94     673
1787.000000   175.6613504  15.4812471    1.19   24.26  0.395     2.36     670
1588.000000   175.7029617  15.4857891    1.14   27.71  0.450     2.24     670
5296.000000   175.6864907  15.4133074    1.03   22.82  0.370     2.29     668
5779.000000   175.6772185  15.4009668    1.00   20.69  0.337     3.09     666
3152.000000   175.7115327  15.4558214    1.03   24.44  0.388     1.39     666
897.000000   175.7145989  15.498154    1.17   27.71  0.451     3.20     665
5004.000000   175.7130615  15.4216991    1.08   27.39  0.439     2.30     661
3073.000000   175.6425272  15.4581991    1.34   23.58  0.379     2.66     660
5234.000000   175.6563712  15.4152434    1.21   23.55  0.379     2.83     660
1189.000000   175.6794219  15.4934809    1.06   26.79  0.429     2.57     658
2519.000000   175.6711872  15.4680374    0.99   22.13  0.346     1.39     656
2735.000000   175.6742925  15.4628563    1.36   23.53  0.362     1.05     655
