# ID    RA            DEC          photz   Mag     Int_Pz   Rad(_)   Rank   r      zband   c1      c2      sed  
  227   175.6895878   15.5134984   0.85    99.0    0.166    3.73     79     0.0    0.0     0.0     0.0     0    
  228   175.6882347   15.512776    0.85    99.0    0.166    3.68     79     0.0    0.0     0.0     0.0     0    
  232   175.6709923   15.5125931   1.61    99.0    0.066    3.8      39     0.0    0.0     1.96    4.21    0    
  233   175.6701616   15.5115772   2.71    99.0    0.0      3.75     12     0.0    0.0     1.28    1.77    0    
  234   175.6709549   15.5114294   1.72    99.0    0.004    3.73     14     0.0    0.0     16.0    23.99   0    
  237   175.6846566   15.5118084   1.51    99.0    0.182    3.63     86     0.0    0.0     0.31    1.47    0    
  238   175.685397    15.5116423   1.43    99.0    0.22     3.62     101    0.0    0.0     0.0     0.02    0    
  241   175.6725055   15.5125172   0.85    99.0    0.166    3.77     79     0.0    0.0     0.0     0.0     0    
  243   175.6983137   15.5124619   0.85    99.0    0.166    3.71     79     0.0    0.0     0.0     0.0     0    
  244   175.6965925   15.512409    1.43    99.0    0.221    3.7      102    0.0    0.0     0.0     0.41    0    
  246   175.6889849   15.5123644   0.85    99.0    0.166    3.66     80     0.0    0.0     0.0     0.0     0    
  249   175.6948701   15.5122791   0.85    99.0    0.166    3.68     79     0.0    0.0     0.0     0.0     0    
  250   175.6956743   15.5122114   2.72    99.0    0.0      3.68     12     0.0    0.0     0.41    0.56    0    
  251   175.6902768   15.5121381   1.43    99.0    0.221    3.65     102    0.0    0.0     0.0     2.05    0    
  252   175.6900379   15.5116656   2.63    99.0    0.0      3.62     13     0.0    0.0     0.22    0.28    0    
  253   175.6905544   15.5113686   1.48    99.0    0.205    3.6      95     0.0    0.0     0.28    2.17    0    
  254   175.6989452   15.5121781   0.85    99.0    0.166    3.7      79     0.0    0.0     0.0     0.0     0    
  255   175.6894164   15.5120542   1.43    99.0    0.221    3.64     102    0.0    0.0     0.0     0.75    0    
  256   175.691862    15.5121497   0.85    99.0    0.166    3.65     80     0.0    0.0     0.0     0.0     0    
  258   175.6881352   15.5120334   0.85    99.0    0.166    3.64     80     0.0    0.0     0.0     0.0     0    
  260   175.676568    15.5119754   0.85    99.0    0.166    3.69     79     0.0    0.0     0.0     0.0     0    
  262   175.6863939   15.511892    0.85    99.0    0.166    3.63     80     0.0    0.0     0.0     0.0     0    
  263   175.6624589   15.5118593   1.43    99.0    0.221    3.92     101    0.0    0.0     0.0     1.21    0    
  264   175.6871849   15.511867    0.85    99.0    0.166    3.63     80     0.0    0.0     0.0     0.0     0    
  270   175.6969997   15.511705    2.68    99.0    0.0      3.66     12     0.0    0.0     1.42    1.85    0    
  271   175.6995024   15.5117769   0.85    99.0    0.166    3.68     79     0.0    0.0     0.0     0.0     0    
  272   175.6639024   15.5117886   1.43    99.0    0.221    3.88     101    0.0    0.0     0.0     0.21    0    
  273   175.691202    15.5117098   1.43    99.0    0.221    3.62     102    0.0    0.0     0.0     2.09    0    
  275   175.6977757   15.5116867   0.85    99.0    0.166    3.66     80     0.0    0.0     0.0     0.0     0    
  277   175.682399    15.5114878   2.72    99.0    0.0      3.62     13     0.0    0.0     1.31    1.75    0    
  278   175.6888975   15.5111876   0.85    99.0    0.166    3.59     80     0.0    0.0     0.0     0.0     0    
  279   175.6892647   15.5109628   0.85    99.0    0.166    3.58     80     0.0    0.0     0.0     0.0     0    
  280   175.66189     15.5115271   0.85    99.0    0.166    3.91     79     0.0    0.0     0.0     0.0     0    
  281   175.6839287   15.5126245   1.43    99.0    0.221    3.68     102    0.0    0.0     0.0     0.53    0    
  283   175.6973752   15.5111356   1.44    99.0    0.219    3.63     101    0.0    0.0     0.1     2.88    0    
  287   175.6686314   15.5109312   1.73    99.0    0.003    3.74     13     0.0    0.0     0.82    1.22    0    
  292   175.6867042   15.5093317   1.43    99.0    0.221    3.48     102    0.0    0.0     0.0     0.99    0    
  293   175.6911002   15.5109145   1.43    99.0    0.221    3.58     102    0.0    0.0     0.0     0.46    0    
  294   175.6924456   15.5109162   1.43    99.0    0.221    3.58     102    0.0    0.0     0.0     0.31    0    
  297   175.698804    15.5106779   1.5     99.0    0.19     3.61     89     0.0    0.0     0.62    3.34    0    
  301   175.6990091   15.5097808   1.51    99.0    0.178    3.56     85     0.0    0.0     1.61    7.24    0    
  305   175.6678889   15.5105627   1.43    99.0    0.221    3.73     102    0.0    0.0     0.0     1.25    0    
  306   175.6764224   15.5105057   0.85    99.0    0.166    3.61     80     0.0    0.0     0.0     0.0     0    
  308   175.6807292   15.5082731   2.59    99.0    0.0      3.44     13     0.0    0.0     4.17    5.15    0    
  312   175.6815333   15.509567    1.43    99.0    0.221    3.51     102    0.0    0.0     0.0     0.71    0    
  316   175.6771969   15.5099469   2.63    99.0    0.0      3.57     13     0.0    0.0     0.89    1.13    0    
  317   175.6832821   15.5197889   0.85    99.0    0.166    4.11     78     0.0    0.0     0.0     0.0     0    
  318   175.6791536   15.5099332   1.43    99.0    0.221    3.55     102    0.0    0.0     0.0     0.89    0    
  321   175.7019165   15.5103921   0.85    99.0    0.166    3.63     80     0.0    0.0     0.0     0.0     0    
  323   175.6543273   15.5103023   0.85    99.0    0.166    4.03     78     0.0    0.0     0.0     0.0     0    
  325   175.6916487   15.5098503   1.43    99.0    0.221    3.51     102    0.0    0.0     0.0     0.99    0    
  327   175.6938855   15.5096312   2.61    99.0    0.0      3.51     13     0.0    0.0     19.59   24.43   0    
  328   175.6933844   15.5088148   1.72    99.0    0.005    3.46     15     0.0    0.0     0.31    0.47    0    
  330   175.6926645   15.5100584   0.85    99.0    0.166    3.53     80     0.0    0.0     0.0     0.0     0    
  331   175.6959477   15.5100239   1.45    99.0    0.215    3.55     100    0.0    0.0     0.12    1.69    0    
  334   175.6682965   15.5096461   1.68    99.0    0.019    3.68     20     0.0    0.0     4.29    7.24    0    
  336   175.6538626   15.5089584   1.43    99.0    0.221    3.98     101    0.0    0.0     0.0     0.33    0    
  337   175.6803312   15.5089714   1.58    99.0    0.108    3.48     57     0.0    0.0     0.66    1.75    0    
  341   175.6984783   15.5096563   0.85    99.0    0.166    3.55     80     0.0    0.0     0.0     0.0     0    
  342   175.7010143   15.5096815   1.5     99.0    0.194    3.58     91     0.0    0.0     0.3     1.72    0    
  343   175.7030391   15.5096469   0.85    99.0    0.166    3.6      80     0.0    0.0     0.0     0.0     0    
  344   175.6902388   15.5095497   0.85    99.0    0.166    3.49     80     0.0    0.0     0.0     0.0     0    
  348   175.6755672   15.5093937   1.61    99.0    0.073    3.55     42     0.0    0.0     0.72    1.6     0    
  349   175.695078    15.5092902   1.43    99.0    0.221    3.5      102    0.0    0.0     0.0     0.15    0    
  350   175.6953485   15.5091744   1.43    99.0    0.221    3.49     102    0.0    0.0     0.0     0.68    0    
  352   175.679667    15.5092399   1.51    99.0    0.182    3.5      87     0.0    0.0     0.11    0.52    0    
  355   175.6875445   15.5092404   0.85    99.0    0.166    3.47     80     0.0    0.0     0.0     0.0     0    
  359   175.6763634   15.5093382   1.61    99.0    0.07     3.54     41     0.0    0.0     1.16    2.54    0    
  360   175.6974      15.5091512   0.85    99.0    0.166    3.51     80     0.0    0.0     0.0     0.0     0    
  362   175.6544345   15.5097449   0.99    99.0    0.202    4.0      93     0.0    0.0     0.01    0.0     0    
  364   175.6736459   15.5090481   0.85    99.0    0.166    3.56     80     0.0    0.0     0.0     0.0     0    
  365   175.6876726   15.5075733   0.85    99.0    0.166    3.37     81     0.0    0.0     0.0     0.0     0    
  370   175.6919036   15.5089152   1.43    99.0    0.221    3.46     102    0.0    0.0     0.0     0.44    0    
  373   175.7048707   15.5085079   1.43    99.0    0.221    3.56     102    0.0    0.0     0.0     0.92    0    
  374   175.7045429   15.5086654   0.85    99.0    0.166    3.57     80     0.0    0.0     0.0     0.0     0    
  375   175.7043652   15.5084569   0.85    99.0    0.166    3.55     80     0.0    0.0     0.0     0.0     0    
  377   175.6718245   15.5085484   0.85    99.0    0.166    3.55     80     0.0    0.0     0.0     0.0     0    
  381   175.6925852   15.5081079   1.6     99.0    0.078    3.41     45     0.0    0.0     1.02    2.33    0    
